first_name,last_name,city,state,shirt_or_hat,quiz_points,team,signup,id_number,company,state_name,state_abbrev,region,division
Janice,Howell,Los Angeles,CA,hat,100,red,2015-02-07,9500,Homenick Group,California,CA,West,Pacific
Wanda,Alvarez,Riverside,CA,shirt,20,blue,2016-06-06,9501,Nicolas Inc,California,CA,West,Pacific
Laura,Olson,San Mateo,CA,shirt,90,green,2014-06-17,9502,Hoeger-O'Keefe,California,CA,West,Pacific
Jack,Garcia,Hicksville,NY,shirt,90,red,2015-09-05,9503,,New York,NY,Northeast,Middle Atlantic
Ryan,Rice,Wilmington,DE,shirt,70,blue,2014-06-16,9504,Carter-VonRueden,Delaware,DE,South,South Atlantic
Christine,Wood,Grand Rapids,MI,shirt,50,green,2015-06-12,9505,Zboncak-Leannon,Michigan,MI,Midwest,East North Central
Dennis,Banks,New York City,NY,hat,20,red,2016-02-19,9506,"Ullrich, Schroeder and Rempel",New York,NY,Northeast,Middle Atlantic
Paula,Montgomery,Mobile,AL,shirt,90,blue,2015-10-17,9507,Krajcik-Koss,Alabama,AL,South,East South Central
Jerry,Ferguson,Carol Stream,IL,shirt,80,green,2014-11-02,9508,"Tromp, Schuppe and Jacobs",Illinois,IL,Northeast,East North Central
Donald,Black,Pensacola,FL,shirt,50,red,2016-10-12,9509,Cartwright LLC,Florida,FL,South,South Atlantic
Gerald,Johnston,Dallas,TX,shirt,70,blue,2016-04-24,9510,,Texas,TX,South,West South Central
Bonnie,Brooks,Bridgeport,CT,hat,90,green,2015-05-15,9511,Terry-Weber,Connecticut,CT,Northeast,New England
Rose,Armstrong,Anchorage,AK,shirt,20,red,2015-11-17,9512,Bashirian Inc,Alaska,AK,West,Pacific
Patrick,Johnson,Boise,ID,hat,80,blue,2015-03-21,9513,"Boehm, Grant and Kuphal",Idaho,ID,West,Mountain
Linda,Mitchell,Burbank,CA,shirt,70,green,2014-07-23,9514,Steuber LLC,California,CA,West,Pacific
Brian,George,Lake Worth,FL,hat,70,red,2014-03-10,9515,"Stehr, Windler and MacGyver",Florida,FL,South,South Atlantic
Jonathan,Ryan,Alexandria,LA,hat,10,blue,2016-04-13,9516,"Davis, Stark and Spencer",Louisiana,LA,South,West South Central
Paul,Williamson,Apache Junction,AZ,hat,40,green,2014-12-08,9517,Rohan and Sons,Arizona,AZ,West,Mountain
Robin,Hayes,Salinas,CA,shirt,10,red,2013-12-14,9518,"Cole, Cronin and Ruecker",California,CA,West,Pacific
James,Graham,Ogden,UT,shirt,70,blue,2016-10-14,9519,Bosco Inc,Utah,UT,West,Mountain
Robert,Hart,Everett,WA,shirt,90,green,2014-08-19,9520,Gulgowski and Sons,Washington,WA,West,Pacific
Joe,Thompson,Peoria,IL,shirt,100,red,2016-07-02,9521,Yundt Group,Illinois,IL,Northeast,East North Central
Michelle,Montgomery,Salinas,CA,hat,70,blue,2016-06-01,9522,Treutel-Luettgen,California,CA,West,Pacific
Randy,Oliver,Dallas,TX,hat,20,green,2014-04-25,9523,Rice Group,Texas,TX,South,West South Central
Earl,Snyder,Birmingham,AL,hat,100,red,2016-09-08,9524,Mills and Sons,Alabama,AL,South,East South Central
Helen,Berry,New Haven,CT,shirt,70,blue,2014-11-06,9525,Gerhold-Runte,Connecticut,CT,Northeast,New England
Christina,Evans,Phoenix,AZ,shirt,80,green,2016-06-07,9526,Hagenes and Sons,Arizona,AZ,West,Mountain
Scott,Thompson,Des Moines,IA,hat,90,red,2015-11-29,9527,"Lang, Spinka and Herman",Iowa,IA,Midwest,West North Central
Gerald,Montgomery,Albuquerque,NM,shirt,20,blue,2014-08-27,9528,Zulauf-Kozey,New Mexico,NM,West,Mountain
Nicole,Willis,Fargo,ND,hat,100,green,2015-12-04,9529,Simonis LLC,North Dakota,ND,Midwest,West North Central
John,Howard,Albany,NY,hat,90,red,2013-11-28,9530,Denesik Inc,New York,NY,Northeast,Middle Atlantic
Donna,Daniels,Port Charlotte,FL,hat,100,blue,2015-08-22,9531,Ziemann and Sons,Florida,FL,South,South Atlantic
Michelle,Nelson,Springfield,MA,hat,90,green,2015-07-31,9532,"Schowalter, Bogan and Franecki",Massachusetts,MA,Northeast,New England
Gary,Peters,Carson City,NV,shirt,80,red,2016-07-18,9533,,Nevada,NV,West,Mountain
Donald,Ellis,El Paso,TX,hat,30,blue,2014-07-11,9534,Hickle and Sons,Texas,TX,South,West South Central
Sharon,Brown,Portland,OR,hat,100,green,2014-07-29,9535,"Sipes, Adams and Steuber",Oregon,OR,West,Pacific
Margaret,Hamilton,Detroit,MI,hat,20,red,2016-06-22,9536,"Dickinson, Lakin and Waters",Michigan,MI,Midwest,East North Central
Richard,Fox,Baton Rouge,LA,hat,30,blue,2014-04-17,9537,Jaskolski and Sons,Louisiana,LA,South,West South Central
Linda,Foster,Austin,TX,shirt,90,green,2016-08-28,9538,Collins and Sons,Texas,TX,South,West South Central
Janet,Rodriguez,Stockton,CA,hat,20,red,2015-01-11,9539,,California,CA,West,Pacific
Jacqueline,Morales,Fairfax,VA,shirt,30,blue,2016-01-08,9540,,Virginia,VA,South,South Atlantic
Barbara,Ortiz,Los Angeles,CA,shirt,100,green,2015-08-16,9541,"Smitham, Kertzmann and Leffler",California,CA,West,Pacific
Tina,Greene,Seattle,WA,hat,80,red,2014-05-29,9542,"Becker, Davis and Moen",Washington,WA,West,Pacific
Roy,Lopez,San Francisco,CA,hat,10,blue,2015-08-12,9543,Schneider and Sons,California,CA,West,Pacific
David,Ford,Fort Wayne,IN,shirt,40,green,2015-01-19,9544,"Howe, Reinger and Ondricka",Indiana,IN,Northeast,East North Central
Robert,Bradley,Chicago,IL,hat,90,red,2015-02-25,9545,"Gottlieb, Ebert and Kuphal",Illinois,IL,Northeast,East North Central
Paul,Schmidt,Davenport,IA,shirt,100,blue,2015-08-22,9546,"Luettgen, Schroeder and Green",Iowa,IA,Midwest,West North Central
Christina,Watkins,Montpelier,VT,hat,70,green,2016-04-18,9547,Hauck-Brakus,Vermont,VT,Northeast,New England
Carlos,Gray,Garden Grove,CA,hat,80,red,2016-01-08,9548,Johnston-Labadie,California,CA,West,Pacific
Raymond,Reyes,Paterson,NJ,hat,10,blue,2016-06-19,9549,,New Jersey,NJ,Northeast,Middle Atlantic
Sarah,Fernandez,Inglewood,CA,hat,20,green,2016-08-31,9550,"Marks, Stanton and Mann",California,CA,West,Pacific
Stephen,Jacobs,Arlington,TX,shirt,20,red,2016-01-04,9551,Frami Inc,Texas,TX,South,West South Central
Anne,Ellis,Baton Rouge,LA,hat,80,blue,2014-06-14,9552,Padberg-Swaniawski,Louisiana,LA,South,West South Central
