full_name,state_name
"Paula, Montgomery",Alabama
"Earl, Snyder",Alabama
"Joan, Wheeler",Alabama
"Matthew, Castillo",Alabama
"Jennifer, Medina",Alabama
"Peter, Murray",Alabama
"Roy, Clark",Alabama
"Janice, Peterson",Alabama
"Steve, Gomez",Alabama
"Kevin, Fox",Alabama
"Charles, Diaz",Alabama
"Matthew, Mendoza",Alabama
"Eugene, Welch",Alabama
"Edward, Hart",Alabama
"Charles, Torres",Alabama
"Arthur, Carroll",Alabama
"Ralph, Medina",Alabama
"Anna, Foster",Alabama
"Ann, Holmes",Alabama
"Brenda, Green",Alabama
"Brian, Berry",Alabama
"Steve, Cooper",Alabama
"Melissa, Franklin",Alabama
"Alice, Roberts",Alabama
"Rose, Armstrong",Alaska
"Paul, Williamson",Arizona
"Christina, Evans",Arizona
"Jerry, Henderson",Arizona
"Amy, Crawford",Arizona
"Gregory, Fields",Arizona
"Gary, Greene",Arizona
"Stephen, Howard",Arizona
"Edward, Campbell",Arizona
"Craig, Payne",Arizona
"Shawn, Ryan",Arizona
"Harold, Gonzales",Arizona
"Cheryl, Burns",Arizona
"Jose, Hunt",Arizona
"Jason, Knight",Arizona
"Randy, Day",Arizona
"Michelle, Hawkins",Arizona
"Ann, Adams",Arizona
"Julie, Day",Arizona
"Antonio, Romero",Arizona
"Louise, Knight",Arkansas
"Jose, Cooper",Arkansas
"Bonnie, Sanchez",Arkansas
"Barbara, Garza",Arkansas
"Michelle, Marshall",Arkansas
"Jane, Lopez",Arkansas
"Janice, Howell",California
"Wanda, Alvarez",California
"Laura, Olson",California
"Linda, Mitchell",California
"Robin, Hayes",California
"Michelle, Montgomery",California
"Janet, Rodriguez",California
"Barbara, Ortiz",California
"Roy, Lopez",California
"Carlos, Gray",California
"Sarah, Fernandez",California
"Nicole, Banks",California
"Brian, Palmer",California
"Billy, Marshall",California
"Philip, Kim",California
"Jerry, Hawkins",California
"Albert, Lawson",California
"Diana, Gonzales",California
"Joyce, Payne",California
"Ernest, Mills",California
"Ronald, Hughes",California
"Walter, Hughes",California
"Jeffrey, Dunn",California
"Deborah, Lee",California
"Jesse, Stone",California
"Louis, Cole",California
"Keith, Harrison",California
"Judy, Ramirez",California
"Henry, Burns",California
"Randy, Wells",California
"Susan, Dixon",California
"Thomas, Oliver",California
"Gloria, Roberts",California
"Joan, Elliott",California
"Thomas, Martin",California
"Daniel, Williamson",California
"Matthew, Chavez",California
"Norma, Simpson",California
"Sarah, Allen",California
"Sandra, Bryant",California
"Robin, Wheeler",California
"Gerald, Ortiz",California
"Betty, Hall",California
"Ryan, Webb",California
"Bobby, Lynch",California
"Ronald, Gibson",California
"Kathryn, Day",California
"Mildred, Ortiz",California
"Philip, Arnold",California
"Todd, Richards",California
"Sandra, Lawrence",California
"Stephanie, Ruiz",California
"Maria, Morgan",California
"Joyce, Henry",California
"Lori, Burke",California
"Jimmy, Price",California
"Matthew, Robinson",California
"Terry, Grant",California
"Kelly, Burns",California
"Cheryl, Kim",California
"Rebecca, Hayes",California
"Denise, Lawson",California
"Joe, Owens",California
"Todd, Fields",California
"Doris, Jenkins",California
"Louise, Howard",California
"Ryan, Holmes",California
"Philip, Brown",California
