1,allan.sherwood@yahoo.com,Sherwood,Allan,21 Rosewood Rd.,,Woodcliff Lake,NJ,07677,100 East Ridgewood Ave.,,Paramus,NJ,07652
2,barryz@gmail.com,Zimmer,Barry,16285 Wendell St.,,Omaha,NE,68135,16285 Wendell St.,,Omaha,NE,68135
3,christineb@solarone.com,Brown,Christine,19270 NW Cornell Rd.,,Beaverton,OR,97006,19270 NW Cornell Rd.,,Beaverton,OR,97006
4,david.goldstein@hotmail.com,Goldstein,David,1374 46th Ave.,,San Francisco,CA,94129,186 Vermont St.,Apt. 2,San Francisco,CA,94110
5,erinv@gmail.com,Valentino,Erin,6982 Palm Ave.,,Fresno,CA,93711,6982 Palm Ave.,,Fresno,CA,93711
6,frankwilson@sbcglobal.net,Wilson,Frank Lee,23 Mountain View St.,,Denver,CO,80208,23 Mountain View St.,,Denver,CO,80208
7,gary_hernandez@yahoo.com,Hernandez,Gary,3829 Broadway Ave.,Suite 2,New York,NY,10012,7361 N. 41st St.,Apt. B,New York,NY,10012
8,heatheresway@mac.com,Esway,Heather,291 W. Hollywood Blvd.,,Los Angeles,CA,90024,2381 Buena Vista St.,,Los Angeles,CA,90023
9,jbutt@gmail.com,Butt,James,96950 Hidden Ln,,Aberdeen,MD,21001,96950 Hidden Ln,,Aberdeen,MD,21001
10,josephine_darakjy@darakjy.org,Darakjy,Josephine,6980 Dorsett Rd,,Abilene,KS,67410,6980 Dorsett Rd,,Abilene,KS,67410
11,art@venere.org,Venere,Art,5 E Truman Rd,,Abilene,TX,79602,33 State St,,Abilene,TX,79601
12,lpaprocki@hotmail.com,Paprocki,Lenna,8284 Hart St,,Abilene,KS,67410,8284 Hart St,,Abilene,KS,67410
13,donette.foller@cox.net,Foller,Donette,9387 Charcot Ave,,Absecon,NJ,8201,9387 Charcot Ave,,Absecon,NJ,8201
14,simona@morasca.com,Morasca,Simona,3777 E Richmond St #900,,Akron,OH,44302,3777 E Richmond St #900,,Akron,OH,44302
15,mitsue_tollner@yahoo.com,Tollner,Mitsue,9390 S Howell Ave,,Albany,GA,31701,74 S Westgate St,,Albany,NY,12204
16,leota@hotmail.com,Dilliard,Leota,89992 E 15th St,,Alliance,NE,69301,89992 E 15th St,,Alliance,NE,69301
17,sage_wieser@cox.net,Wieser,Sage,812 S Haven St,,Amarillo,TX,79109,812 S Haven St,,Amarillo,TX,79109
18,kris@gmail.com,Marrier,Kris,72119 S Walker Ave #63,,Anaheim,CA,92801,72119 S Walker Ave #63,,Anaheim,CA,92801
19,minna_amigon@yahoo.com,Amigon,Minna,18 Fountain St,,Anchorage,AK,99515,639 Main St,,Anchorage,AK,99501
20,amaclead@gmail.com,Maclead,Abel,1747 Calle Amanecer #2,,Anchorage,AK,99501,1747 Calle Amanecer #2,,Anchorage,AK,99501
21,kiley.caldarera@aol.com,Caldarera,Kiley,735 Crawford Dr,,Anchorage,AK,99501,735 Crawford Dr,,Anchorage,AK,99501
22,gruta@cox.net,Ruta,Graciela,560 Civic Center Dr,,Ann Arbor,MI,48103,560 Civic Center Dr,,Ann Arbor,MI,48103
23,calbares@gmail.com,Albares,Cammy,747 Leonis Blvd,,Annandale,VA,22003,747 Leonis Blvd,,Annandale,VA,22003
24,mattie@aol.com,Poquette,Mattie,70099 E North Ave,,Arlington,TX,76013,70099 E North Ave,,Arlington,TX,76013
25,meaghan@hotmail.com,Garufi,Meaghan,73 W Barstow Ave,,Arlington Heights,IL,60004,73 W Barstow Ave,,Arlington Heights,IL,60004
26,gladys.rim@rim.org,Rim,Gladys,3 Mcauley Dr,,Ashland,OH,44805,3 Mcauley Dr,,Ashland,OH,44805
27,yuki_whobrey@aol.com,Whobrey,Yuki,6 S 33rd St,,Aston,PA,19014,6 S 33rd St,,Aston,PA,19014
28,fletcher.flosi@yahoo.com,Flosi,Fletcher,92 Broadway,,Astoria,NY,11103,92 Broadway,,Astoria,NY,11103
29,bette_nicka@cox.net,Nicka,Bette,26 Montgomery St,,Atlanta,GA,30328,45 2nd Ave #9759,,Atlanta,GA,30328
30,vinouye@aol.com,Inouye,Veronika,187 Market St,,Atlanta,GA,30342,187 Market St,,Atlanta,GA,30342
31,willard@hotmail.com,Kolmetz,Willard,82 Winsor St #54,,Atlanta,GA,30340,82 Winsor St #54,,Atlanta,GA,30340
32,mroyster@royster.com,Royster,Maryann,506 S Hacienda Dr,,Atlantic City,NJ,8401,92 Main St,,Atlantic City,NJ,8401
33,alisha@slusarski.com,Slusarski,Alisha,2026 N Plankinton Ave #3,,Austin,TX,78754,59 N Groesbeck Hwy,,Austin,TX,78731
34,allene_iturbide@cox.net,Iturbide,Allene,3125 Packer Ave #9851,,Austin,TX,78753,3125 Packer Ave #9851,,Austin,TX,78753
35,chanel.caudy@caudy.org,Caudy,Chanel,228 Runamuck Pl #2808,,Baltimore,MD,21224,228 Runamuck Pl #2808,,Baltimore,MD,21224
36,ezekiel@chui.com,Chui,Ezekiel,6 Kains Ave,,Baltimore,MD,21215,6 Kains Ave,,Baltimore,MD,21215
37,wkusko@yahoo.com,Kusko,Willow,2 S Biscayne Blvd,,Baltimore,MD,21230,2 S Biscayne Blvd,,Baltimore,MD,21230
38,bfigeroa@aol.com,Figeroa,Bernardo,4 Iwaena St,,Baltimore,MD,21202,4 Iwaena St,,Baltimore,MD,21202
39,ammie@corrio.com,Corrio,Ammie,2 W Scyene Rd #3,,Baltimore,MD,21217,2 W Scyene Rd #3,,Baltimore,MD,21217
