Maria,Anders,6
Ana,Trujillo,4
Antonio,Moreno,7
Thomas,Hardy,13
Christina,Berglund,18
Hanna,Moos,7
Frédérique,Citeaux,11
Martín,Sommer,3
Laurence,Lebihan,17
Elizabeth,Lincoln,14
Victoria,Ashworth,10
Patricio,Simpson,6
Francisco,Chang,1
Yang,Wang,8
Pedro,Afonso,5
Elizabeth,Brown,3
Sven,Ottlieb,6
Janine,Labrune,4
Ann,Devon,8
Roland,Mendel,30
Aria,Cruz,7
Diego,Roel,0
Martine,Rancé,5
Maria,Larsson,19
Peter,Franken,15
Carine,Schmitt,3
Paolo,Accorti,6
Lino,Rodriguez,8
Eduardo,Saavedra,5
José,Pedro Freyre,10
André,Fonseca,9
Howard,Snyder,11
Manuel,Pereira,2
Mario,Pontes,14
Carlos,Hernández,18
Yoshi,Latimer,5
Patricia,McKenna,19
Helen,Bennett,10
Philip,Cramer,14
Daniel,Tonini,4
Annette,Roulet,14
Yoshi,Tannamuri,3
John,Steel,2
Renate,Messner,15
Jaime,Yorres,4
Carlos,González,14
Felipe,Izquierdo,12
Fran,Wilson,8
Giovanni,Rovelli,10
Catherine,Dewey,7
Jean,Fresnière,13
Alexander,Feuer,5
Simon,Crowther,3
Yvonne,Moncada,5
Rene,Phillips,10
Henriette,Pfalzheim,10
Marie,Bertrand,0
Guillermo,Fernández,6
Georg,Pipps,10
Isabel,de Castro,5
Bernardo,Batista,9
Lúcia,Carvalho,13
Horst,Kloss,28
Sergio,Gutiérrez,5
Paula,Wilson,18
Maurizio,Moroni,12
Janete,Limeira,11
Michael,Holz,10
Alejandra,Camino,5
Jonas,Bergulfsen,6
Jose,Pavarotti,31
Hari,Kumar,9
Jytte,Petersen,7
Dominique,Perrier,4
Art,Braunschweiger,9
Pascale,Cartrain,12
Liz,Nixon,4
Liu,Wong,3
Karin,Josephs,6
Miguel,Angel Paolino,10
Anabela,Domingues,6
Helvetius,Nagy,3
Palle,Ibsen,11
Mary,Saveley,10
Paul,Henriot,5
Rita,Müller,10
Pirkko,Koskitalo,15
Paula,Parente,9
Karl,Jablonski,14
Matti,Karttunen,7
Zbyszek,Piestrzeniewicz,7
