first_name,last_name,city,state,shirt_or_hat,quiz_points,team,signup,id_number,company
Robert,Hart,Everett,WA,shirt,90,green,2014-08-19,9520,Gulgowski and Sons
Tina,Greene,Seattle,WA,hat,80,red,2014-05-29,9542,"Becker, Davis and Moen"
Victor,Shaw,Olympia,WA,hat,90,red,2016-03-29,9557,Spinka and Sons
Shirley,Green,Tacoma,WA,hat,10,blue,2014-07-20,9591,
Jesse,Jenkins,Lakewood,WA,shirt,20,red,2014-11-30,9596,Nitzsche-Veum
Kathryn,Welch,Olympia,WA,hat,10,red,2015-05-12,9659,Mayert and Sons
Arthur,Bishop,Tacoma,WA,hat,20,green,2014-10-22,9706,"Grady, Ruecker and Howell"
Ronald,Thomas,Tacoma,WA,hat,80,green,2015-09-25,9754,
Patrick,Gordon,Spokane,WA,hat,40,blue,2016-07-18,9816,"Walter, Gutmann and Berge"
Justin,Stanley,Spokane,WA,hat,100,red,2014-03-03,9854,Koepp Group
Michelle,Mason,Seattle,WA,hat,90,red,2014-04-24,9977,Gibson-Grant
Teresa,Ford,Seattle,WA,shirt,90,green,2015-06-23,9991,Steuber and Sons
Justin,Dean,Tacoma,WA,hat,10,blue,2015-04-20,10185,Huel-Lebsack
Earl,Simmons,Spokane,WA,hat,100,red,2015-03-27,10226,Simonis Inc
Christine,Marshall,Spokane,WA,hat,40,green,2015-01-02,10249,Runolfsson LLC
Randy,Washington,Olympia,WA,shirt,80,red,2014-07-11,10256,Pfeffer-Cole
Frank,Nguyen,Seattle,WA,shirt,10,green,2016-10-28,10294,"Langosh, Graham and Prohaska"
Emily,Berry,Tacoma,WA,hat,80,red,2013-12-04,10316,Howell Inc
Martha,Hudson,Tacoma,WA,shirt,90,blue,2016-07-30,10401,"Mraz, Bartell and Volkman"
