Full Name,quiz_points
"Wanda, Alvarez",20
"Dennis, Banks",20
"Rose, Armstrong",20
"Jonathan, Ryan",10
"Paul, Williamson",40
"Robin, Hayes",10
"Randy, Oliver",20
"Gerald, Montgomery",20
"Donald, Ellis",30
"Margaret, Hamilton",20
"Richard, Fox",30
"Janet, Rodriguez",20
"Jacqueline, Morales",30
"Roy, Lopez",10
"David, Ford",40
"Raymond, Reyes",10
"Sarah, Fernandez",20
"Stephen, Jacobs",20
"Philip, Ray",10
"Brian, Palmer",30
"Philip, Carr",10
"Douglas, Williamson",30
"Dennis, Harper",20
"Louise, Knight",30
"Matthew, Bowman",20
"Annie, Greene",20
"William, Richardson",40
"Shirley, Green",10
"Philip, Kim",10
"Jesse, Jenkins",20
"James, Murray",40
"Willie, Hudson",10
"Nicole, Powell",10
"Matthew, Woods",10
"Jerry, Hawkins",10
"Debra, Scott",30
"Kevin, Nguyen",40
"Lawrence, Torres",20
"Lillian, Rodriguez",30
"Stephanie, Martinez",10
"Andrew, Parker",30
"Sandra, Green",40
"Jerry, Fisher",30
"Jacqueline, Stanley",40
"Kathryn, Welch",10
"Jeffrey, Dunn",40
"Matthew, Castillo",10
"Matthew, Nichols",10
"Carlos, Morrison",10
"Anna, Bryant",10
"Benjamin, Bowman",20
"Carolyn, Mills",40
"Clarence, Watson",10
"Brian, Carter",40
"Joan, Vasquez",20
"Doris, Lane",20
"Marilyn, Ferguson",20
"Martha, Cruz",10
"Gerald, Price",40
"Arthur, Bishop",20
"Terry, Fernandez",40
"Linda, Matthews",10
"Todd, Ross",20
"Ashley, Harper",20
"Randy, Wells",40
"Gloria, Roberts",30
"Gary, Greene",40
"Bonnie, Sanchez",10
"Gloria, Rogers",10
"Daniel, Williamson",30
"Adam, West",40
"Emily, Richards",20
"Ruth, Johnson",10
"Patricia, Riley",40
"Angela, Russell",40
"Robin, Gardner",30
"Stephen, Fernandez",20
"Richard, Myers",20
"Steven, Green",30
"Jimmy, Wagner",40
"Steve, Gomez",40
"Cynthia, Evans",30
"Patrick, Gordon",40
"Lillian, Kim",20
"William, Mason",20
"Helen, Thompson",40
"Andrew, Moreno",10
"Harold, Richards",10
"Ryan, Webb",10
"Wanda, Torres",10
"Carlos, Howell",30
"Christina, Richardson",40
"Carolyn, Carter",20
"Jennifer, Garrett",30
"Walter, Hamilton",40
"Philip, Arnold",40
"Melissa, Franklin",20
"Phyllis, George",40
"Frank, West",30
"Kathryn, Banks",30
"Angela, Cunningham",20
"Ryan, Hayes",20
"Gloria, Reynolds",40
"Irene, Bowman",30
"Lori, Burke",30
"Anne, Porter",10
"Virginia, Howell",30
"Catherine, King",30
"Margaret, Hughes",10
"Lois, Gordon",10
"George, Gonzalez",10
"Christina, Gibson",30
"Martha, Bell",30
"Terry, Grant",30
"Willie, Elliott",30
"Kelly, Burns",40
"Johnny, Jacobs",20
"Joe, Owens",40
"Ashley, Fisher",40
"Willie, Kennedy",30
"Philip, Foster",10
"Ruth, Murphy",20
"Anna, Chapman",10
"Maria, Harrison",10
"Brian, Matthews",20
"Deborah, Johnston",20
"Frank, Gutierrez",30
"Edward, Hart",10
"Anne, Franklin",10
"Sandra, Ferguson",20
"Lisa, Riley",30
"Steven, Foster",30
"Keith, Perez",30
"Cynthia, Carroll",30
"Rose, Garcia",10
"Ernest, Peters",40
"Earl, Russell",20
"Douglas, Mills",30
"Kelly, Lewis",10
"Ralph, Medina",30
"Gerald, Wagner",20
"Dennis, Lopez",10
"Philip, Crawford",40
"Anna, Foster",20
"Jennifer, Reynolds",20
"Frank, Grant",20
"Kathleen, Watson",40
"Ruby, Kelley",30
"Ruth, Alvarez",20
"Jason, Knight",10
"Matthew, Franklin",30
"Patrick, Barnes",40
"Aaron, Alexander",20
"Justin, Dean",10
"Edward, Hicks",10
"Jennifer, Lopez",40
"James, Little",30
"Harold, Collins",30
"Carl, Pierce",40
"David, Wheeler",10
"Jimmy, Carr",40
"Ashley, Riley",30
"Janice, Bailey",10
"Ruby, Burton",30
"Gerald, Harrison",20
"Michelle, Carr",20
"Christine, Marshall",40
"Donna, Armstrong",10
"Eugene, Flores",40
"Louise, Stewart",30
"Jacqueline, Fisher",10
"George, Nguyen",10
"Randy, Day",10
"Benjamin, Sims",40
"Kenneth, Gilbert",20
"Sean, Gibson",40
"Richard, Patterson",40
"Randy, Brown",20
"Frank, Nguyen",10
"Julie, Bell",20
"Timothy, Powell",10
"Randy, Johnston",30
"Bobby, Frazier",40
"Brandon, Lopez",30
"Louis, Watson",30
"William, Carroll",10
"Justin, Washington",10
"Ann, Adams",20
"Brandon, Greene",10
"Deborah, Meyer",10
"Marie, Riley",30
"Bruce, King",10
"Jane, Lopez",20
"Carolyn, Grant",10
"Martha, Riley",20
"Christina, Burke",40
"Ernest, Reed",20
"Melissa, Franklin",30
"Jimmy, Gutierrez",20
"Andrea, Butler",40
"John, Myers",20
"Annie, Turner",10
"Charles, Edwards",40
"Melissa, Hughes",20
"Donna, Johnston",40
"Cheryl, Wallace",40
"Dorothy, Cole",30
"Angela, Ford",20
"Daniel, Alvarez",20
"Brenda, Owens",40
"Stephen, Wagner",20
"Jeremy, Nguyen",40
"Robin, Ryan",30
"William, Fernandez",10
"Carlos, Chapman",30
"Theresa, Torres",40
"Kenneth, Black",20
"Kevin, Garcia",30
"Julie, Day",20
"Ronald, Henry",10
"Frances, Hunter",30
"John, Gray",30
"Mary, Washington",40
