first_name,last_name,city,state,shirt_or_hat,quiz_points,team,signup,id_number,company,state_name,state_abbrev,region,division
Aaron,Alexander,Philadelphia,PA,shirt,20,red,2015-06-25,10169,"Ferry, Keeling and Langworth",Pennsylvania,PA,Northeast,Middle Atlantic
Aaron,Davis,New York City,NY,hat,90,blue,2014-06-22,10323,"Frami, Dibbert and Kuphal",New York,NY,Northeast,Middle Atlantic
Aaron,Jacobs,Albuquerque,NM,shirt,70,red,2016-03-03,9902,,New Mexico,NM,West,Mountain
Adam,Ford,Saint Louis,MO,hat,70,blue,2015-11-07,10212,Bogan Group,Missouri,MO,Midwest,West North Central
Adam,Garcia,Fort Worth,TX,hat,90,red,2015-09-20,10403,"Erdman, Reilly and Zieme",Texas,TX,South,West South Central
Adam,Gonzales,Kansas City,MO,hat,80,blue,2015-03-11,10392,,Missouri,MO,Midwest,West North Central
Adam,Knight,Augusta,GA,hat,60,green,2015-03-23,10204,Collier LLC,Georgia,GA,South,South Atlantic
Adam,Richardson,Ocala,FL,hat,100,red,2016-07-29,10175,Prosacco LLC,Florida,FL,South,South Atlantic
Adam,West,Colorado Springs,CO,hat,40,green,2014-10-20,9760,Sipes LLC,Colorado,CO,West,Mountain
Alabama,AL,South,East South Central,Alice,Roberts,Montgomery,AL,shirt,80,red,2015-08-25,10457,Langosh Group
Alabama,AL,South,East South Central,Ann,Holmes,Birmingham,AL,hat,100,blue,2016-03-24,10131,"Satterfield, Keebler and Kihn"
Alabama,AL,South,East South Central,Anna,Foster,Huntsville,AL,hat,20,red,2014-01-16,10118,Schaefer-Cummings
Alabama,AL,South,East South Central,Arthur,Carroll,Birmingham,AL,hat,60,green,2013-11-22,10066,O'Conner and Sons
Alabama,AL,South,East South Central,Brenda,Green,Birmingham,AL,shirt,100,red,2016-04-20,10148,Hilll Inc
Alabama,AL,South,East South Central,Brian,Berry,Mobile,AL,shirt,80,red,2014-12-28,10334,"Senger, Bashirian and O'Hara"
Alabama,AL,South,East South Central,Charles,Diaz,Birmingham,AL,hat,60,red,2013-12-16,9959,Corkery-Hoeger
Alabama,AL,South,East South Central,Charles,Torres,Huntsville,AL,hat,100,green,2014-04-03,10048,"Gaylord, Corwin and Gottlieb"
Alabama,AL,South,East South Central,Earl,Snyder,Birmingham,AL,hat,100,red,2016-09-08,9524,Mills and Sons
Alabama,AL,South,East South Central,Edward,Hart,Birmingham,AL,hat,10,blue,2014-09-08,10038,Predovic-Osinski
Alabama,AL,South,East South Central,Eugene,Welch,Tuscaloosa,AL,hat,60,blue,2016-08-15,10014,O'Keefe and Sons
Alabama,AL,South,East South Central,Janice,Peterson,Montgomery,AL,hat,80,red,2014-09-25,9761,"Predovic, Baumbach and Denesik"
Alabama,AL,South,East South Central,Jennifer,Medina,Birmingham,AL,shirt,100,green,2015-11-18,9685,Ullrich LLC
Alabama,AL,South,East South Central,Joan,Wheeler,Birmingham,AL,shirt,60,green,2014-02-02,9664,O'Hara Group
Alabama,AL,South,East South Central,Kevin,Fox,Birmingham,AL,hat,90,blue,2015-07-15,9810,Lind-Bernier
Alabama,AL,South,East South Central,Matthew,Castillo,Mobile,AL,shirt,10,red,2014-12-13,9665,Jaskolski-Larson
Alabama,AL,South,East South Central,Matthew,Mendoza,Mobile,AL,shirt,80,red,2014-06-06,9983,Sauer-Pouros
Alabama,AL,South,East South Central,Melissa,Franklin,Mobile,AL,hat,30,red,2016-10-09,10373,"Rohan, Denesik and Luettgen"
Alabama,AL,South,East South Central,Paula,Montgomery,Mobile,AL,shirt,90,blue,2015-10-17,9507,Krajcik-Koss
Alabama,AL,South,East South Central,Peter,Murray,Mobile,AL,hat,60,red,2016-05-03,9749,"McDermott, Koch and Mayert"
Alabama,AL,South,East South Central,Ralph,Medina,Montgomery,AL,shirt,30,blue,2015-12-18,10110,Price and Sons
Alabama,AL,South,East South Central,Roy,Clark,Huntsville,AL,hat,60,red,2014-03-24,9755,"Goldner, Gulgowski and Murazik"
Alabama,AL,South,East South Central,Steve,Cooper,Montgomery,AL,hat,80,red,2016-03-14,10355,
Alabama,AL,South,East South Central,Steve,Gomez,Montgomery,AL,shirt,40,red,2014-01-18,9806,Weissnat-Cremin
Alan,Butler,Philadelphia,PA,shirt,80,green,2014-02-10,10240,Kulas LLC,Pennsylvania,PA,Northeast,Middle Atlantic
Alan,Wagner,Spartanburg,SC,shirt,50,red,2014-11-18,10046,"Fritsch, Powlowski and Smith",South Carolina,SC,South,South Atlantic
Alaska,AK,West,Pacific,Rose,Armstrong,Anchorage,AK,shirt,20,red,2015-11-17,9512,Bashirian Inc
Albert,Lawson,San Francisco,CA,hat,80,blue,2016-10-21,9615,"Kessler, Stamm and Dickinson",California,CA,West,Pacific
Alice,Bennett,Palm Bay,FL,hat,50,green,2015-11-07,10021,"Reichel, Miller and Effertz",Florida,FL,South,South Atlantic
Alice,Brown,El Paso,TX,hat,60,green,2015-03-15,10114,"Beatty, Feeney and Howe",Texas,TX,South,West South Central
Alice,Miller,Daytona Beach,FL,hat,70,green,2015-11-29,9715,Padberg-Cummings,Florida,FL,South,South Atlantic
Alice,Roberts,Montgomery,AL,shirt,80,red,2015-08-25,10457,Langosh Group,Alabama,AL,South,East South Central
Alice,Shaw,Miami,FL,hat,50,red,2014-03-30,10430,"Hane, Jacobi and Lind",Florida,FL,South,South Atlantic
Amy,Crawford,Phoenix,AZ,shirt,90,red,2015-04-08,9662,Durgan Inc,Arizona,AZ,West,Mountain
Amy,Hart,Indianapolis,IN,hat,70,blue,2016-07-11,9927,"Stroman, White and Bosco",Indiana,IN,Northeast,East North Central
Amy,Hudson,Savannah,GA,shirt,80,blue,2014-08-30,10347,Haag and Sons,Georgia,GA,South,South Atlantic
Amy,Lane,Richmond,VA,hat,100,blue,2014-05-14,10353,Morar and Sons,Virginia,VA,South,South Atlantic
Amy,Matthews,Fort Wayne,IN,hat,90,blue,2014-12-10,9990,Torphy-Johnston,Indiana,IN,Northeast,East North Central
Amy,Simpson,Akron,OH,shirt,60,red,2014-03-12,9827,Schulist and Sons,Ohio,OH,Midwest,East North Central
Amy,Warren,Mount Vernon,NY,hat,90,red,2014-09-11,9782,"Skiles, Leannon and Wyman",New York,NY,Northeast,Middle Atlantic
Andrea,Butler,Shawnee Mission,KS,hat,40,blue,2016-09-14,10380,"Effertz, Harber and Roob",Kansas,KS,Midwest,West North Central
Andrea,Carpenter,Silver Spring,MD,shirt,80,red,2014-10-25,10157,,Maryland,MD,South,South Atlantic
Andrea,Hart,Charleston,WV,hat,80,red,2014-07-24,9722,"Reinger, Hills and Anderson",West Virginia,WV,South,South Atlantic
Andrea,Johnson,Memphis,TN,hat,90,blue,2013-11-15,10473,Lockman-Renner,Tennessee,TN,South,East South Central
Andrew,Baker,Fort Wayne,IN,shirt,100,red,2015-04-24,10481,Marks Inc,Indiana,IN,Northeast,East North Central
Andrew,Cox,Philadelphia,PA,shirt,90,blue,2014-04-26,9807,Corkery LLC,Pennsylvania,PA,Northeast,Middle Atlantic
Andrew,Lane,Odessa,TX,hat,100,green,2014-04-22,10102,Lindgren-Schowalter,Texas,TX,South,West South Central
Andrew,Mason,Tulsa,OK,hat,70,red,2014-04-02,10010,"D'Amore, Franecki and Hintz",Oklahoma,OK,South,West South Central
Andrew,Moreno,Fort Lauderdale,FL,hat,10,green,2016-03-26,9832,Hackett-Sipes,Florida,FL,South,South Atlantic
Andrew,Parker,Norwalk,CT,shirt,30,blue,2014-05-19,9639,Weber-Lakin,Connecticut,CT,Northeast,New England
Andrew,Peterson,Farmington,MI,hat,50,green,2016-05-12,9652,Gulgowski Group,Michigan,MI,Midwest,East North Central
Andrew,Taylor,Silver Spring,MD,hat,80,green,2016-10-03,10444,Rosenbaum and Sons,Maryland,MD,South,South Atlantic
Angela,Cunningham,Milwaukee,WI,hat,20,red,2015-05-12,9896,,Wisconsin,WI,Midwest,East North Central
Angela,Duncan,Miami Beach,FL,hat,70,blue,2015-07-29,9879,Stoltenberg-Lakin,Florida,FL,South,South Atlantic
Angela,Elliott,Fullerton,CA,shirt,90,red,2014-12-03,10013,Doyle-Murazik,California,CA,West,Pacific
Angela,Ford,Salt Lake City,UT,shirt,20,blue,2014-10-03,10425,Frami-Mohr,Utah,UT,West,Mountain
Angela,Martinez,Memphis,TN,hat,50,red,2016-06-18,9590,Prosacco-Beatty,Tennessee,TN,South,East South Central
Angela,Russell,Peoria,IL,hat,40,red,2016-10-01,9788,"Hodkiewicz, Osinski and Larson",Illinois,IL,Northeast,East North Central
Ann,Adams,Lincoln,NE,shirt,80,green,2016-06-15,9556,Mertz Group,Nebraska,NE,Midwest,West North Central
Ann,Adams,Mesa,AZ,shirt,20,blue,2014-11-18,10326,Kirlin Inc,Arizona,AZ,West,Mountain
Ann,Gonzales,Iowa City,IA,shirt,100,blue,2016-02-07,10197,Renner LLC,Iowa,IA,Midwest,West North Central
Ann,Harrison,Wilmington,DE,shirt,80,blue,2016-08-06,10407,Reilly-Friesen,Delaware,DE,South,South Atlantic
Ann,Holmes,Birmingham,AL,hat,100,blue,2016-03-24,10131,"Satterfield, Keebler and Kihn",Alabama,AL,South,East South Central
Ann,Moore,Nashville,TN,shirt,90,red,2014-10-09,10217,"Kuhlman, Leannon and Harber",Tennessee,TN,South,East South Central
Anna,Arnold,Memphis,TN,shirt,50,red,2015-06-30,10190,,Tennessee,TN,South,East South Central
Anna,Brown,Murfreesboro,TN,shirt,80,green,2014-06-27,9835,Haag Inc,Tennessee,TN,South,East South Central
Anna,Bryant,Durham,NC,hat,10,blue,2015-03-12,9675,"Stroman, Bergstrom and Ryan",North Carolina,NC,South,South Atlantic
Anna,Chapman,Helena,MT,hat,10,blue,2014-02-03,9996,O'Conner Inc,Montana,MT,West,Mountain
Anna,Cooper,San Antonio,TX,shirt,100,red,2014-07-17,9626,Goodwin LLC,Texas,TX,South,West South Central
Anna,Foster,Huntsville,AL,hat,20,red,2014-01-16,10118,Schaefer-Cummings,Alabama,AL,South,East South Central
Anna,Jackson,Visalia,CA,hat,80,blue,2013-11-30,10458,Jakubowski Inc,California,CA,West,Pacific
Anna,Perkins,Champaign,IL,shirt,100,red,2015-05-26,10016,Waelchi LLC,Illinois,IL,Northeast,East North Central
Anna,Porter,Charleston,WV,shirt,90,green,2013-12-16,9946,"Powlowski, Hilll and Kovacek",West Virginia,WV,South,South Atlantic
Anna,Porter,Denver,CO,hat,60,blue,2016-06-27,9843,"Weber, Herman and Hermann",Colorado,CO,West,Mountain
Anne,Ellis,Baton Rouge,LA,hat,80,blue,2014-06-14,9552,Padberg-Swaniawski,Louisiana,LA,South,West South Central
Anne,Franklin,Roanoke,VA,shirt,10,blue,2016-06-26,10050,Nienow and Sons,Virginia,VA,South,South Atlantic
Anne,Porter,Fort Lauderdale,FL,shirt,10,green,2015-09-13,9913,"Smith, Mertz and Sawayn",Florida,FL,South,South Atlantic
Anne,Romero,Reading,PA,hat,50,green,2013-11-19,10288,Kuhic-Ratke,Pennsylvania,PA,Northeast,Middle Atlantic
Annie,Collins,San Antonio,TX,hat,70,green,2015-12-08,10183,"Daniel, Wilkinson and Schmitt",Texas,TX,South,West South Central
Annie,Greene,Miami,FL,hat,20,blue,2015-02-11,9585,Cormier-Altenwerth,Florida,FL,South,South Atlantic
Annie,Jackson,Omaha,NE,hat,50,red,2016-06-20,10001,Koch LLC,Nebraska,NE,Midwest,West North Central
Annie,Kennedy,Punta Gorda,FL,hat,80,red,2016-01-01,9803,Green-Kreiger,Florida,FL,South,South Atlantic
Annie,Richards,Littleton,CO,shirt,50,green,2015-04-23,9766,Hilpert-Thompson,Colorado,CO,West,Mountain
Annie,Turner,Charlotte,NC,hat,10,green,2015-07-20,10393,Gerlach-Dicki,North Carolina,NC,South,South Atlantic
Anthony,Day,Norfolk,VA,shirt,100,green,2014-03-01,9586,Prohaska LLC,Virginia,VA,South,South Atlantic
Anthony,Morris,Cincinnati,OH,hat,90,red,2016-02-21,10106,Bernier Group,Ohio,OH,Midwest,East North Central
Anthony,Palmer,Gainesville,GA,hat,80,blue,2014-05-15,9960,Kihn-Dach,Georgia,GA,South,South Atlantic
Anthony,Warren,Crawfordsville,IN,hat,80,red,2014-05-31,10406,"Hessel, Sawayn and Wolff",Indiana,IN,Northeast,East North Central
Antonio,Hart,Young America,MN,shirt,90,green,2013-12-18,9787,Feest Inc,Minnesota,MN,Midwest,West North Central
Antonio,Romero,Phoenix,AZ,shirt,80,green,2014-03-25,10483,Ryan Inc,Arizona,AZ,West,Mountain
Antonio,West,New York City,NY,hat,90,blue,2015-05-30,9606,Welch LLC,New York,NY,Northeast,Middle Atlantic
Arizona,AZ,West,Mountain,Amy,Crawford,Phoenix,AZ,shirt,90,red,2015-04-08,9662,Durgan Inc
Arizona,AZ,West,Mountain,Ann,Adams,Mesa,AZ,shirt,20,blue,2014-11-18,10326,Kirlin Inc
Arizona,AZ,West,Mountain,Antonio,Romero,Phoenix,AZ,shirt,80,green,2014-03-25,10483,Ryan Inc
Arizona,AZ,West,Mountain,Cheryl,Burns,Phoenix,AZ,hat,80,blue,2016-10-18,10143,Kessler-Lakin
Arizona,AZ,West,Mountain,Christina,Evans,Phoenix,AZ,shirt,80,green,2016-06-07,9526,Hagenes and Sons
Arizona,AZ,West,Mountain,Craig,Payne,Phoenix,AZ,hat,80,green,2016-07-19,10078,MacGyver LLC
Arizona,AZ,West,Mountain,Edward,Campbell,Tucson,AZ,hat,80,blue,2014-01-28,9930,Torphy LLC
Arizona,AZ,West,Mountain,Gary,Greene,Mesa,AZ,hat,40,green,2015-10-08,9739,Moore-Rutherford
Arizona,AZ,West,Mountain,Gregory,Fields,Phoenix,AZ,hat,90,blue,2016-06-05,9723,"Parisian, Blanda and Schinner"
Arizona,AZ,West,Mountain,Harold,Gonzales,Phoenix,AZ,shirt,90,blue,2014-08-29,10140,"Cassin, Flatley and Wintheiser"
Arizona,AZ,West,Mountain,Jason,Knight,Phoenix,AZ,shirt,10,red,2014-04-27,10154,"McGlynn, Hudson and Rodriguez"
Arizona,AZ,West,Mountain,Jerry,Henderson,Tucson,AZ,shirt,100,green,2016-04-02,9559,"Boehm, Ziemann and Maggio"
